time,x,x_dot,z,z_dot,theta,theta_dot,u1,u2,x_ref,z_ref,theta_ref
0.0,0.27395604855596334,-0.0012224312049589538,1.3020370878759355,0.003947360581187278,-0.24349359126741027,0.009512447032735119,0.05632337492751251,0.05809496365973006,0,1,0
0.02002002002002002,0.2735229532571218,-0.021654764942077714,1.2998410558579647,-0.10980160089854357,-0.24191117118355093,0.07912100419296358,0.056323393327679945,0.05834751950257488,0,1,0
0.04004004004004004,0.2726807052916621,-0.04211239827298284,1.2953756929260187,-0.22326814659730274,-0.2388122571724426,0.1549457005554189,0.056323374917615986,0.05830797188363015,0,1,0
0.06006006006006006,0.2714324713563546,-0.0624116967653733,1.2886435065434072,-0.3366093191305794,-0.23416759656494943,0.23223303037466023,0.05632338691341029,0.05797741230100767,0,1,0
0.08008008008008008,0.2697850896079748,-0.08236908741899078,1.2796438370942667,-0.4499834724570295,-0.2283793614867394,0.28941175391050056,0.056323443557363025,0.05806082501470518,0,1,0
0.10010010010010009,0.2677465165835444,-0.10192865122151923,1.2683829939051277,-0.5630421594569458,-0.2214230642932268,0.34781485967563186,0.05632366667237502,0.05801622990929336,0,1,0
0.12012012012012012,0.265327103539416,-0.12097065220642104,1.2548662550438787,-0.6758369430624522,-0.21336288505250853,0.40300896203591297,0.07227976843951761,0.07394131451365342,0,1,0
0.14014014014014015,0.2624353545792121,-0.14458744801019757,1.2395611053331057,-0.7652574855386495,-0.20433332050169953,0.4514782275404463,0.11012637151949559,0.11191131147740582,0,1,0
0.16016016016016016,0.25885132280026674,-0.17920158894726765,1.2235725922566825,-0.7994256538211643,-0.1942091974703715,0.5062061515664047,0.13199921937744155,0.13387235037084572,0,1,0
0.18018018018018017,0.25447343623684204,-0.21889432817123516,1.2075442454268497,-0.8014173414916362,-0.18301396557251717,0.5597615948927194,0.14344356925934693,0.1453405518986622,0,1,0
0.20020020020020018,0.24927648330361496,-0.25984764666135474,1.1918172281050587,-0.7863508660895507,-0.17075863776157715,0.6127663905470004,0.1486519447526005,0.150473304294232,0,1,0
0.22022022022022023,0.24328086961934714,-0.2997806842133915,1.176550689889814,-0.763326910762242,-0.1576191679673246,0.656973489712626,0.15036454928233994,0.15210650392352257,0,1,0
0.24024024024024024,0.2365327696521736,-0.3374049983586765,1.1618022615859431,-0.7374214151935409,-0.14366864466489754,0.6975261651213526,0.15060601707569682,0.15219792397696524,0,1,0
0.2602602602602603,0.22909055068423917,-0.37211094839672093,1.1475855752909734,-0.7108343147484821,-0.12904095795395676,0.73138433554704,0.1503481606463068,0.15175846009434346,0,1,0
0.2802802802802803,0.22101857206952952,-0.40359893073548214,1.1338989304249516,-0.6843322433010927,-0.11399363098665373,0.7523663483651502,0.15005926496760896,0.15134532664997552,0,1,0
0.3003003003003003,0.21238388700745015,-0.43173425310396796,1.1207400619486585,-0.6579434238146536,-0.09861287444350049,0.7690378271576636,0.15022171162258507,0.1513382255229547,0,1,0
0.3203203203203203,0.20325370687759636,-0.45650900649268894,1.108118563939026,-0.6310749004816165,-0.08307769882770563,0.7767587807897427,0.15071766050446161,0.15168395775239943,0,1,0
0.34034034034034033,0.193695786526383,-0.47789601756066835,1.0960532862724315,-0.6032638833297265,-0.06751599533328057,0.7780851747212539,0.15158466383501057,0.15239461828926681,0,1,0
