time,x,x_dot,z,z_dot,theta,theta_dot,u1,u2,x_ref,z_ref,theta_ref
0.0,0.27395604855596334,-0.0012224312049589538,1.3020370878759355,0.003947360581187278,-0.24349359126741027,0.009512447032735119,0.056323375067221494,0.0563233821412111,0,1,0
0.02002002002002002,0.273529280942826,-0.021338380656865476,1.2998155844102406,-0.11107517328474525,-0.2433284363983661,0.008257743452204558,0.05632338717428713,0.05968294971821041,0,1,0
0.04004004004004004,0.27268863584235964,-0.04203225502331928,1.2953439752648523,-0.22358045726941717,-0.24070312362152213,0.13126563884219997,0.056323375450796555,0.05917428510643245,0,1,0
0.06006006006006006,0.271436675078006,-0.0625980382176829,1.2886174277969555,-0.33632737339484553,-0.2360890079445009,0.23070578385106316,0.056323374972008594,0.0585617971060049,0,1,0
0.08008008008008008,0.2697805460682034,-0.08280645049013095,1.2796310373518314,-0.44931952225621297,-0.23023630901139194,0.292634946655446,0.056323445888940275,0.05860869608464108,0,1,0
0.10010010010010009,0.26772836927647287,-0.10260883958652688,1.268390586505776,-0.5620225423027614,-0.22326832586093565,0.34839915752281525,0.0563236050803756,0.058595160577728046,0,1,0
0.12012012012012012,0.26529059507937924,-0.1218887098546813,1.254901840965702,-0.6744372770036988,-0.21533802492890156,0.396515046601704,0.07556687303444518,0.07791224196422156,0,1,0
0.14014014014014015,0.2623530947152036,-0.14687501820878043,1.239728609709358,-0.7586615628171971,-0.20660385775745138,0.4367083585725105,0.11094270080369309,0.11356688996292512,0,1,0
0.16016016016016016,0.2587095295592322,-0.18217825779857028,1.2239061469879,-0.7911231360729037,-0.1969177503516062,0.4843053702922574,0.13135133452372363,0.1341994805880405,0,1,0
0.18018018018018017,0.25426477962692673,-0.22223749661527462,1.2080370391858648,-0.7934553901017584,-0.18628966918429557,0.5314040583655332,0.1417299995731021,0.14473750493201276,0,1,0
0.20020020020020018,0.2489968134042546,-0.2633983111336058,1.192433032815225,-0.7802003185319842,-0.17471103615924502,0.578931651252523,0.14624192322748808,0.14930995170485475,0,1,0
