time,x,x_dot,z,z_dot,theta,theta_dot,u1,u2,x_ref,z_ref,theta_ref
0.0,0.27395604855596334,-0.0012224312049589538,1.3020370878759355,0.003947360581187278,-0.24349359126741027,0.009512447032735119,0.056323375519613486,0.05632337494041905,0,1,0
0.02002002002002002,0.27352937037490554,-0.021333909052889732,1.299815584315515,-0.11107517802102201,-0.24355295292699,-0.0029680829789843315,0.05632339217673039,0.059078816061773384,0,1,0
0.04004004004004004,0.2726910360261832,-0.0419167174361156,1.2953352890320216,-0.22401476417467786,-0.2417946923928167,0.0879130267086666,0.05632337498651604,0.059067480417873144,0,1,0
0.06006006006006006,0.2714409334669115,-0.06250512796358476,1.288598437215065,-0.33684259084782797,-0.2369848591285336,0.24049166321415427,0.05632337494225581,0.0578271849223352,0,1,0
0.08008008008008008,0.269787199929064,-0.0826866768923747,1.2795907457023594,-0.4503845756352803,-0.2308705121198007,0.3057173504366435,0.05632354866711827,0.057812857941017294,0,1,0
0.10010010010010009,0.26773829860049525,-0.10244506642843923,1.2683172093757322,-0.5636768163313611,-0.22328257466527082,0.3793968727264962,0.056323914433915614,0.0575435675099973,0,1,0
0.12012012012012012,0.2653057244873027,-0.12162870565962616,1.254780026280185,-0.6768591547773704,-0.2141398538606564,0.4571360402307186,0.07416702266956414,0.07501459146158163,0,1,0
0.14014014014014015,0.26238703021777326,-0.1459347134764721,1.239496354708038,-0.7641835786073474,-0.20428540757257274,0.49272231440418246,0.11087223885889237,0.11192134407222437,0,1,0
0.16016016016016016,0.2587707301418915,-0.18081500379408927,1.2235396799638383,-0.7978337372099906,-0.19277397796061968,0.5755714805976537,0.132951562558397,0.1336420717039563,0,1,0
0.18018018018018017,0.25435829608969585,-0.2206217026097829,1.2075536229383355,-0.7993028512751429,-0.18034373169493187,0.6215123132843892,0.144032175924735,0.14473077126853132,0,1,0
0.20020020020020018,0.24913250402303017,-0.26128960333328455,1.1918696860690168,-0.7841968434659338,-0.16683038673559064,0.6756672479670602,0.1496775213473085,0.15017517539781153,0,1,0
0.22022022022022023,0.2431176299717907,-0.3007437025619727,1.1766588855849764,-0.7605400242020176,-0.15312160003651668,0.6854393349536962,0.15106851092213883,0.1518356686046172,0,1,0
0.24024024024024024,0.23636627389317458,-0.3375678039308061,1.1619753713452856,-0.734175711984545,-0.13870189297970337,0.7209853528406679,0.15198273334324322,0.15259696526883026,0,1,0
0.2602602602602603,0.22893629865690285,-0.3714987618135858,1.147852593083722,-0.7061389130781759,-0.12346985834278204,0.7616017318460662,0.15227355669638773,0.15254442194216453,0,1,0
0.2802802802802803,0.22089286756944426,-0.40217155437292873,1.1343025812135572,-0.6775005935082393,-0.10849450644010039,0.7487675951340821,0.15141216167891064,0.15193821825012244,0,1,0
0.3003003003003003,0.21230747862179153,-0.42926944738263717,1.1213118174512389,-0.6495381881159195,-0.09314604535530997,0.7674230542395198,0.1519905698029438,0.15228702033445563,0,1,0
0.3203203203203203,0.2032462838921721,-0.4530597364809712,1.1089008489626588,-0.6205484244290064,-0.07778285833173552,0.7681593511787225,0.15228030282047553,0.15248615435913768,0,1,0
0.34034034034034033,0.1937779806365286,-0.47341516278217544,1.0970829239432893,-0.5908962509684746,-0.06232987676985829,0.772649078093862,0.15310425439977565,0.15308212481442962,0,1,0
0.36036036036036034,0.18397067644812845,-0.49036520942000694,1.0858839909886868,-0.5599466477301231,-0.04726347425115966,0.7533201259349309,0.15372188025032715,0.1537087317298157,0,1,0
0.38038038038038036,0.1738931747761346,-0.5038750835996916,1.075326368815958,-0.5278811086364376,-0.03184400169244492,0.770973627935737,0.15539537551898866,0.1548228911250288,0,1,0
0.40040040040040037,0.16361259449305365,-0.5140290141540478,1.0654540503256151,-0.49361592451714675,-0.01713226194851739,0.7355869871963763,0.1558900329987407,0.1553601304585707,0,1,0
0.42042042042042044,0.15319934991027734,-0.5206622291388155,1.0562840339676163,-0.45850081789994523,-0.0029911791599460482,0.7070541394285671,0.15675877751220837,0.156146814790584,0,1,0
0.44044044044044045,0.14272055303453104,-0.523939843787315,1.0478414012114228,-0.4221316378096765,0.011144832628907253,0.706800589442665,0.15818405701358182,0.15704383436514502,0,1,0
0.46046046046046046,0.13224188690464506,-0.5239333064942997,1.0401600889094262,-0.3840656150998297,0.02419543848431866,0.6525302927705703,0.15782292506645487,0.15679550367109574,0,1,0
0.4804804804804805,0.12182917042907873,-0.520635823778316,1.03322963793053,-0.3465225489448119,0.03605423120925351,0.5929396362467424,0.15796615687873822,0.15714356605605898,0,1,0
0.5005005005005005,0.11154290439104876,-0.5143133019014985,1.027055124623427,-0.30872566535514184,0.04729942113552166,0.562259496313408,0.15768341755550894,0.15665469819299255,0,1,0
